age,income,credit_score,loan_term,loan_amount,monthly_installment,interest_rate,repayment_status
39,142399,738,24,35000,379.507,12.48,0
37,138046,800,60,50000,263.982,6.23,0
44,52139,736,48,24500,167.731,8.05,0
45,42171,617,48,8000,58.284,8.56,0
32,81314,353,12,7000,84.815,13.34,0
47,52310,513,24,7000,78.161,12.85,0
50,93055,618,36,14000,93.808,7.82,1
50,38257,531,60,4000,42.202,12.45,0
50,98676,518,48,7000,67.029,11.25,0
51,102324,666,12,20000,209.069,11.51,1
57,56129,838,48,35000,291.406,9.78,0
28,72669,340,36,7000,81.704,13.62,0
54,147314,311,60,10000,58.333,6.88,0
50,50525,829,12,35000,312.407,9.83,0
40,146796,707,60,35000,418.914,14.13,0
36,68315,816,12,35000,160.962,5.06,0
59,148549,565,12,10000,88.209,9.71,1
63,124266,312,60,10000,49.99,5.9,0
40,44261,352,36,4000,32.873,9.59,0
56,92350,505,36,7000,30.576,5.1,1
27,74026,461,36,7000,89.624,14.94,0
45,50669,376,36,7000,58.349,9.73,1
60,55638,343,48,7000,34.484,5.79,0
63,66491,727,48,24500,120.824,5.8,0
31,48493,718,48,14000,156.959,13.18,0
49,59011,838,24,35000,277.628,9.13,0
31,87966,766,48,35000,270.85,9.09,0
55,142272,357,36,10000,93.556,10.92,1
32,52476,332,48,7000,83.119,13.96,0
58,82540,332,48,7000,86.773,14.57,0
45,143288,324,36,10000,45.815,5.35,1
26,31018,525,48,4000,29.439,8.65,0
38,107711,374,12,10000,124.248,13.68,0
63,43924,619,48,8000,65.666,9.65,0
52,88449,686,48,24500,215.774,10.35,0
25,140681,750,36,50000,600.466,14.02,0
43,61499,678,12,24500,174.556,7.84,0
57,128688,368,36,10000,117.44,13.71,0
34,107883,378,60,10000,64.539,7.62,0
56,93262,345,36,7000,49.443,8.24,1
26,144641,814,24,50000,466.141,10.73,0
41,106516,776,36,50000,629.206,14.69,0
35,124207,841,48,50000,396.533,9.32,0
30,145312,511,12,10000,95.168,10.48,1
50,120778,574,12,10000,47.035,5.18,1
57,59649,304,12,7000,72.721,11.44,0
28,45406,702,24,14000,68.797,5.65,0
58,39535,355,24,4000,19.495,5.61,0
52,143829,792,48,50000,407.223,9.57,0
30,74293,509,12,7000,58.218,9.15,1
51,91302,643,48,14000,175.908,14.77,0
37,121965,444,12,10000,63.673,7.01,1
58,124813,347,36,10000,87.367,10.2,1
51,110800,513,48,10000,51.62,6.07,0
59,117461,456,12,10000,53.441,5.88,1
63,85241,818,60,35000,317.67,10.71,0
37,81931,634,60,14000,143.394,12.09,0
31,56050,639,60,14000,105.923,8.93,0
33,132076,475,48,10000,68.897,8.1,0
57,132128,512,12,10000,99.982,11.01,1
56,109588,321,36,10000,122.787,14.33,0
32,87156,300,48,7000,77.911,13.08,0
41,39508,637,24,8000,73.352,10.55,1
30,47746,427,24,4000,42.352,12.18,0
61,108878,406,48,10000,118.804,13.96,0
55,132413,813,12,50000,478.005,10.52,0
60,132730,607,24,20000,207.872,11.96,1
58,95657,759,12,35000,258.074,8.12,0
31,52531,437,48,7000,79.39,13.33,0
26,90467,805,36,35000,373.1,12.44,0
35,120121,715,12,35000,372.831,11.73,1
46,48870,463,60,4000,26.066,7.69,0
58,38477,438,12,4000,51.967,14.31,0
23,94687,387,24,7000,72.545,11.92,1
53,49009,513,12,4000,22.537,6.2,0
21,142630,477,48,10000,64.26,7.55,0
37,119157,430,48,10000,43.167,5.07,0
35,92524,308,24,7000,54.311,8.93,1
50,109092,406,48,10000,83.882,9.86,0
33,111335,643,36,20000,187.041,10.91,1
52,58751,697,12,24500,200.069,8.99,0
47,92474,665,48,14000,112.522,9.45,0
21,58161,373,60,7000,54.658,9.22,0
62,60312,308,36,7000,40.47,6.75,0
34,35366,760,24,20000,130.135,7.48,0
32,90938,717,36,24500,259.958,12.38,0
58,138052,525,36,10000,63.762,7.44,1
52,102168,509,24,10000,123.158,14.17,0
60,46409,844,60,20000,130.907,7.72,0
40,87173,596,60,14000,71.803,6.05,0
26,83012,561,24,7000,47.834,7.86,1
31,110967,754,12,50000,568.114,12.51,0
37,31715,516,60,4000,34.23,10.1,0
37,75027,772,36,35000,312.897,10.43,0
47,53273,420,12,7000,33.456,5.26,1
59,105625,605,60,20000,109.274,6.45,0
60,142757,695,12,35000,278.071,8.75,1
61,134701,577,36,10000,89.022,10.39,1
42,77036,606,12,14000,159.498,12.54,0
47,62470,533,12,7000,95.215,14.98,0
60,45193,727,24,14000,161.174,13.25,0
28,110961,772,36,50000,220.924,5.16,0
26,56408,584,24,14000,67.967,5.58,1
28,136482,333,60,10000,67.958,8.02,0
34,123923,677,24,35000,286.877,9.43,1
36,79181,642,12,14000,67.817,5.33,1
41,139524,774,12,50000,506.715,11.16,0
44,68935,837,24,35000,328.897,10.81,0
33,75634,826,12,35000,338.696,10.65,0
61,51705,491,36,7000,81.434,13.58,0
47,38780,509,48,4000,21.717,6.38,0
64,140712,378,12,10000,51.151,5.63,1
39,113413,636,48,20000,193.726,11.38,0
37,142020,761,24,50000,372.698,8.57,0
25,42121,803,60,20000,237.718,14.03,0
42,119740,375,24,10000,118.524,13.64,0
32,53044,542,48,7000,58.19,9.77,0
40,124938,701,24,35000,339.671,11.17,1
65,89443,609,12,14000,175.814,13.83,0
34,39630,801,12,20000,259.865,14.31,0
58,47898,315,24,4000,17.665,5.08,0
28,37508,317,12,4000,22.827,6.28,0
55,133822,667,12,20000,184.412,10.15,1
48,118477,813,60,50000,297.036,7.01,0
35,66266,508,48,7000,32.628,5.48,0
46,52349,740,24,35000,355.248,11.68,0
25,146440,382,48,10000,89.556,10.52,0
35,121975,792,36,50000,363.691,8.49,0
23,109256,603,36,20000,198.711,11.59,1
37,33750,807,60,20000,96.136,5.67,0
58,132667,810,12,50000,630.839,13.89,0
39,134380,689,36,35000,366.956,12.24,0
64,134445,549,12,10000,67.121,7.39,1
45,145727,452,36,10000,79.575,9.29,1
42,88640,471,12,7000,82.922,13.04,0
37,119918,324,24,10000,61.074,7.03,1
64,141522,571,24,10000,59.179,6.81,1
50,91640,719,12,24500,270.294,12.15,0
56,103476,673,60,35000,444.306,14.98,0
28,53132,502,48,7000,42.784,7.18,0
48,39828,460,24,4000,23.704,6.82,0
43,145067,535,48,10000,59.126,6.95,0
64,119108,509,36,10000,90.702,10.58,1
24,60222,524,12,7000,32.857,5.17,1
52,80134,329,12,7000,60.087,9.45,1
57,30619,707,24,14000,95.62,7.86,0
63,121338,728,24,35000,338.485,11.13,1
48,96918,833,48,35000,436.445,14.66,0
52,106994,794,12,50000,528.393,11.63,0
25,46550,479,24,4000,28.295,8.14,0
44,144961,352,48,10000,111.127,13.06,0
24,84524,331,24,7000,62.647,10.3,1
54,38696,537,60,4000,41.954,12.38,0
30,95751,329,48,7000,57.268,9.61,0
36,126353,801,24,50000,489.682,11.27,0
47,103119,735,12,35000,171.397,5.39,0
35,101024,485,36,10000,65.997,7.7,1
52,73348,396,36,7000,60.425,10.07,1
53,91044,443,24,7000,57.073,9.38,1
24,143674,596,48,20000,156.401,9.19,0
60,143412,387,36,10000,65.24,7.61,1
60,40604,694,12,14000,101.206,7.96,0
41,94213,418,60,7000,86.309,14.55,0
44,45278,321,48,4000,37.079,10.89,0
29,107080,745,60,50000,530.615,12.52,0
42,85676,778,60,35000,196.576,6.63,0
44,91437,622,24,14000,113.017,9.29,1
61,121232,846,36,50000,399.486,9.32,0
59,149503,535,36,10000,52.514,6.13,1
60,136225,464,12,10000,68.615,7.55,1
23,47270,330,60,4000,44.667,13.18,0
36,79428,744,12,35000,288.105,9.06,0
36,74411,725,60,24500,263.118,12.67,0
55,128093,495,60,10000,96.699,11.41,0
25,99195,807,24,35000,200.453,6.59,0
22,148718,646,48,20000,157.449,9.25,0
38,107460,303,24,10000,63.587,7.31,1
30,54022,347,60,7000,42.782,7.21,0
48,99067,540,24,7000,68.652,11.28,1
49,54643,421,48,7000,87.734,14.73,0
33,62600,644,12,14000,188.057,14.79,0
28,47321,429,36,4000,18.731,5.46,0
35,53740,618,36,14000,172.682,14.39,0
37,33747,311,36,4000,48.683,14.2,0
36,123793,429,12,10000,123.846,13.64,0
51,74149,546,36,7000,84.713,14.12,0
51,131833,746,24,50000,591.487,13.61,0
53,30341,667,24,8000,56.874,8.18,1
47,58678,468,36,7000,33.565,5.59,1
55,33163,396,24,4000,31.331,9.01,0
48,131889,381,12,10000,113.862,12.54,0
31,63730,847,12,35000,372.312,11.71,0
61,143410,354,48,10000,76.618,9.0,0
33,60308,587,48,14000,74.416,6.25,0
48,71002,771,48,35000,376.657,12.65,0
59,53144,645,60,14000,108.669,9.16,0
55,146910,325,24,10000,54.215,6.24,1
39,72450,807,48,35000,176.377,5.92,0
27,83901,591,48,14000,75.639,6.35,0
26,38031,845,60,20000,117.822,6.95,0
56,73098,450,36,7000,69.573,11.6,0
39,72209,475,36,7000,58.114,9.69,1
35,69923,782,60,35000,313.358,10.57,0
51,102028,356,12,10000,92.946,10.23,1
22,38893,384,60,4000,38.216,11.28,0
33,31184,387,36,4000,40.346,11.77,0
38,123109,716,12,35000,191.786,6.03,1
38,99676,411,24,7000,51.898,8.53,1
47,137786,625,12,20000,163.104,8.98,1
43,66424,422,48,7000,46.537,7.81,0
29,82601,586,12,14000,104.801,8.24,1
38,145565,838,48,50000,559.238,13.15,0
25,108336,545,12,10000,83.503,9.19,1
28,118357,848,12,50000,466.682,10.27,0
52,59261,791,12,35000,451.325,14.2,0
44,143956,357,12,10000,51.3,5.65,1
21,118371,458,24,10000,107.121,12.32,0
65,127272,808,36,50000,614.207,14.34,0
53,97643,691,24,24500,147.73,6.94,1
54,146724,633,24,20000,245.52,14.12,0
27,76039,665,24,14000,120.946,9.94,1
51,78351,538,12,7000,70.517,11.09,1
43,82489,343,48,7000,61.964,10.4,0
43,77673,556,24,7000,71.581,11.76,1
35,108770,383,36,10000,76.633,8.94,1
23,61317,669,24,14000,80.495,6.61,1
29,77669,481,60,7000,38.115,6.43,0
49,146752,400,12,10000,86.396,9.51,1
39,111473,399,60,10000,76.33,9.01,0
49,65794,414,48,7000,41.809,7.02,0
22,103148,421,48,10000,64.541,7.58,0
23,142062,342,48,10000,96.911,11.39,0
47,86403,625,48,14000,166.786,14.0,0
52,51174,406,36,7000,68.485,11.42,1
30,110942,345,48,10000,109.054,12.82,0
42,119148,714,48,35000,282.995,9.5,0
34,149116,384,24,10000,79.129,9.1,1
37,42181,715,12,14000,145.028,11.4,0
51,117208,722,60,35000,438.022,14.77,0
31,87745,533,12,7000,91.734,14.43,0
63,32108,573,24,4000,19.875,5.72,0
57,37152,493,36,4000,36.461,10.64,0
36,64934,657,12,14000,123.302,9.7,1
44,70384,409,12,7000,94.1,14.8,0
56,143740,795,36,50000,542.717,12.67,0
33,149338,644,24,20000,114.642,6.59,1
26,53022,412,24,7000,75.986,12.49,0
43,124929,742,24,50000,359.607,8.27,0
31,146453,462,48,10000,115.726,13.6,0
53,130121,695,12,35000,332.065,10.44,1
33,84879,405,24,7000,68.687,11.29,1
37,108486,338,12,10000,127.26,14.01,0
45,139115,473,24,10000,79.957,9.2,1
36,143829,424,36,10000,44.043,5.14,1
61,116531,783,36,50000,226.612,5.29,0
64,142927,530,12,10000,102.287,11.26,1
51,118361,801,36,50000,560.727,13.09,0
25,103032,332,24,10000,65.497,7.53,1
62,79887,332,60,7000,77.984,13.15,0
21,128128,321,12,10000,132.708,14.61,0
42,118363,772,24,50000,391.187,9.0,0
60,129907,335,12,10000,50.491,5.56,1
50,143633,649,36,20000,119.325,6.96,1
41,65055,351,48,7000,84.024,14.11,0
27,123127,439,48,10000,44.02,5.17,0
34,55981,688,36,24500,165.743,7.89,0
38,144201,843,12,50000,313.257,6.9,0
61,45801,316,48,4000,29.737,8.74,0
57,75377,496,12,7000,35.745,5.62,0
42,82687,444,24,7000,43.04,7.07,1
32,132018,846,60,50000,541.255,12.78,0
52,56520,426,60,7000,50.724,8.55,0
59,103621,688,48,35000,350.836,11.78,0
47,121863,812,48,50000,335.668,7.89,0
63,112062,517,12,10000,126.976,13.98,0
41,146536,516,60,10000,99.725,11.77,0
37,38298,670,24,14000,156.432,12.86,0
39,102673,756,36,50000,270.372,6.31,0
47,67082,600,60,14000,69.34,5.84,0
30,93749,454,60,7000,40.544,6.84,0
63,85284,619,24,14000,84.094,6.91,1
35,72257,523,36,7000,48.55,8.09,1
31,45922,799,60,20000,167.78,9.9,0
36,105093,368,24,10000,48.346,5.56,1
58,40214,411,48,4000,27.894,8.2,0
45,101182,566,12,10000,72.225,7.95,1
23,133699,778,24,50000,262.219,6.03,0
55,136421,846,60,50000,610.681,14.41,0
63,49251,772,24,20000,241.742,13.91,0
28,109948,556,48,10000,100.231,11.78,0
23,131684,693,24,35000,157.796,5.19,1
47,139459,378,24,10000,113.57,13.07,0
42,82538,815,60,35000,352.725,11.89,0
37,48515,389,60,4000,31.772,9.37,0
49,141022,583,12,20000,170.161,9.37,1
43,71765,805,48,35000,204.772,6.88,0
64,78435,580,48,14000,126.815,10.65,0
63,117131,805,60,50000,421.54,9.95,0
43,135053,626,60,20000,214.879,12.68,0
43,33592,638,12,8000,99.089,13.64,0
40,100064,504,48,10000,121.309,14.26,0
62,33768,495,12,4000,23.203,6.38,0
37,84991,399,12,7000,44.348,6.97,1
40,121749,551,60,10000,54.518,6.43,0
54,48256,481,12,4000,54.152,14.91,0
65,84043,409,60,7000,69.859,11.78,0
63,63931,654,12,14000,129.719,10.2,0
52,48608,365,60,4000,30.737,9.07,0
45,110350,746,24,50000,269.593,6.2,0
40,57298,579,60,7000,75.614,12.75,0
22,123728,342,36,10000,98.114,11.45,1
59,87029,808,48,35000,438.443,14.72,0
31,108163,351,60,10000,100.021,11.8,0
43,106667,511,36,10000,86.932,10.14,1
34,67010,356,12,7000,44.341,6.97,1
63,48543,361,24,4000,49.085,14.12,0
54,112777,494,12,10000,136.103,14.99,0
55,113265,373,24,10000,74.93,8.62,1
63,64488,732,60,24500,156.528,7.54,0
24,143687,364,12,10000,78.28,8.62,1
38,110303,445,48,10000,43.646,5.13,0
32,139488,552,48,10000,99.922,11.74,0
24,69788,735,48,24500,304.849,14.62,0
32,79057,645,60,14000,119.2,10.05,0
60,125319,818,24,50000,234.051,5.38,0
58,51129,735,12,24500,240.213,10.79,0
63,75747,546,12,7000,35.023,5.51,0
32,85725,342,36,7000,67.194,11.2,1
30,109307,731,48,35000,166.943,5.61,0
63,70854,411,36,7000,70.064,11.68,0
49,149182,782,48,50000,527.272,12.39,0
49,67978,768,48,35000,154.191,5.18,0
63,47962,621,48,8000,38.207,5.61,0
47,36623,816,12,20000,197.723,10.88,0
52,140406,335,48,10000,123.677,14.54,0
62,82773,823,24,35000,165.819,5.45,0
62,83580,365,60,7000,74.777,12.61,0
23,140364,676,24,35000,447.644,14.72,0
36,38709,554,12,4000,39.717,10.93,0
42,94877,567,36,7000,39.934,6.66,1
22,64850,400,48,7000,49.498,8.31,0
61,36216,603,12,8000,64.082,8.82,0
33,115225,588,36,20000,131.741,7.69,1
56,88326,722,48,24500,196.824,9.44,0
27,53001,649,60,14000,158.791,13.39,0
27,138470,307,60,10000,103.122,12.17,0
28,148062,804,48,50000,383.456,9.01,0
56,61530,476,60,7000,68.392,11.53,0
39,78206,493,12,7000,92.223,14.51,0
65,105236,804,48,50000,493.732,11.61,0
32,50022,657,48,14000,121.584,10.21,0
55,52985,665,48,14000,174.83,14.68,0
40,32240,787,60,20000,216.904,12.8,0
63,135963,743,48,50000,350.088,8.23,0
37,135333,630,12,20000,234.353,12.9,0
27,87974,845,48,35000,436.353,14.65,0
41,85835,357,24,7000,80.155,13.17,0
24,38776,566,24,4000,44.568,12.82,0
24,140387,771,24,50000,535.168,12.31,0
59,70661,389,24,7000,47.931,7.88,0
57,140471,358,24,10000,83.485,9.6,1
40,141480,314,36,10000,93.697,10.93,1
59,30107,530,48,4000,17.953,5.27,0
65,105935,613,48,20000,181.099,10.64,0
64,57345,335,36,7000,32.147,5.36,0
39,82000,740,60,35000,415.23,14.0,0
41,46025,566,36,4000,24.689,7.2,0
40,120877,643,36,20000,152.353,8.89,1
29,109298,748,24,50000,287.474,6.61,0
63,80079,606,24,14000,153.151,12.59,0
24,131199,474,36,10000,113.036,13.19,0
51,109197,622,12,20000,135.622,7.46,1
24,98191,335,60,7000,83.61,14.1,0
44,98453,624,12,14000,151.373,11.9,1
37,82207,766,36,35000,312.708,10.43,0
25,47695,473,60,4000,44.924,13.25,0
26,31092,775,24,20000,191.036,10.99,0
62,68341,794,36,35000,402.913,13.43,0
36,97619,772,60,35000,265.888,8.97,0
44,43987,343,48,4000,44.029,12.94,0
41,54940,515,12,7000,76.043,11.96,1
34,36440,436,36,4000,49.264,14.37,0
30,110587,362,24,10000,59.254,6.82,1
29,132288,338,24,10000,74.538,8.57,1
33,40078,801,48,20000,212.856,12.51,0
23,126584,318,60,10000,69.44,8.19,0
56,136892,458,12,10000,134.956,14.86,0
28,112303,604,36,20000,139.317,8.13,1
50,71383,306,48,7000,77.596,13.03,0
32,34886,306,48,4000,50.48,14.83,0
49,30547,798,36,20000,244.921,14.29,0
28,77941,825,48,35000,441.92,14.84,0
24,117228,759,12,50000,414.443,9.12,0
36,137704,731,60,35000,418.202,14.1,0
22,58545,652,48,14000,92.367,7.75,0
65,117162,563,36,10000,114.473,13.36,0
54,106213,539,36,10000,42.982,5.02,1
49,43576,637,60,8000,58.394,8.61,0
51,88035,530,12,7000,58.368,9.18,1
34,30063,796,12,20000,119.021,6.55,0
24,114557,439,24,10000,84.543,9.73,1
34,78701,321,48,7000,74.567,12.52,0
21,134154,620,24,20000,117.323,6.75,1
25,115083,655,36,20000,87.323,5.09,1
27,147843,771,36,50000,580.625,13.55,0
28,96367,724,48,24500,153.554,7.37,0
24,139780,614,60,20000,92.371,5.45,0
41,59463,757,36,35000,410.69,13.69,0
44,112835,839,48,50000,567.025,13.33,0
58,117086,356,24,10000,82.653,9.51,1
51,90104,766,36,35000,382.5,12.75,0
40,142608,832,60,50000,467.489,11.03,0
52,84277,795,60,35000,238.934,8.06,0
33,66217,391,12,7000,58.905,9.26,1
57,131703,310,12,10000,48.958,5.39,1
59,96679,787,48,35000,249.887,8.39,0
24,100796,645,48,20000,136.672,8.03,0
48,33315,642,12,8000,96.641,13.3,0
27,119232,807,48,50000,382.237,8.98,0
49,139887,654,24,20000,238.559,13.72,0
43,68696,804,24,35000,266.12,8.75,0
41,115903,423,12,10000,71.176,7.83,1
32,36912,657,60,8000,55.886,8.24,0
36,75408,547,24,7000,55.819,9.17,1
59,46821,409,12,4000,48.906,13.46,0
42,109283,639,36,20000,168.012,9.8,1
28,147109,392,12,10000,69.417,7.64,1
51,106620,386,36,10000,121.871,14.22,0
64,54655,818,24,35000,168.684,5.54,0
34,31783,367,36,4000,38.249,11.16,0
63,85191,623,24,14000,65.011,5.34,1
28,71123,626,60,14000,106.461,8.97,0
33,128956,347,12,10000,64.899,7.14,1
65,68262,604,48,14000,120.58,10.12,0
64,44097,765,48,20000,125.69,7.39,0
26,82822,510,36,7000,80.412,13.41,0
65,94251,694,36,24500,204.883,9.76,1
60,53525,438,12,7000,67.7,10.65,0
50,130829,457,36,10000,79.003,9.22,1
44,124708,738,48,35000,424.069,14.24,0
39,64043,844,48,35000,170.554,5.73,0
61,75280,756,12,35000,380.361,11.96,0
33,131276,547,60,10000,59.884,7.07,0
47,147469,322,36,10000,105.273,12.29,0
61,53431,790,12,35000,376.774,11.85,0
26,77155,700,24,24500,119.815,5.63,0
38,58531,540,12,7000,32.638,5.13,1
41,53717,353,24,7000,55.755,9.16,1
24,86239,647,60,14000,71.644,6.04,0
23,85902,511,60,7000,41.794,7.05,0
53,135677,404,36,10000,104.023,12.14,0
31,118145,773,24,50000,223.749,5.15,0
45,53252,678,60,24500,227.255,10.95,0
38,109167,828,60,50000,605.44,14.29,0
22,65608,837,48,35000,373.54,12.54,0
47,112806,715,12,35000,452.849,14.25,0
30,91111,825,48,35000,324.427,10.89,0
39,74925,621,12,14000,80.097,6.3,1
51,118154,359,36,10000,95.624,11.16,1
56,110055,618,36,20000,177.506,10.36,1
34,75947,385,36,7000,46.54,7.76,1
54,115501,513,48,10000,120.443,14.16,0
56,38986,762,36,20000,240.854,14.05,0
41,84936,450,12,7000,89.339,14.05,0
50,45021,370,48,4000,49.894,14.66,0
37,148073,821,36,50000,590.156,13.77,0
30,66794,767,48,35000,246.168,8.27,0
22,112910,521,24,10000,101.706,11.7,1
53,53796,433,60,7000,64.487,10.87,0
23,52179,596,24,14000,146.926,12.07,0
62,118978,459,24,10000,64.488,7.42,1
39,132056,483,48,10000,60.563,7.12,0
34,57963,653,48,14000,117.42,9.86,0
22,112158,591,36,20000,182.337,10.64,1
60,38402,388,24,4000,31.448,9.04,0
49,56561,382,12,7000,85.23,13.41,0
26,146963,323,24,10000,117.958,13.57,0
59,53759,418,12,7000,46.352,7.29,0
33,127690,433,36,10000,110.884,12.94,0
32,64993,772,60,35000,273.602,9.23,0
35,144001,379,48,10000,82.098,9.65,0
49,146239,373,36,10000,45.168,5.27,1
27,88532,360,48,7000,87.658,14.72,0
51,68431,590,24,14000,115.015,9.45,1
57,92201,308,36,7000,72.166,12.03,0
23,55770,610,12,14000,142.399,11.2,1
42,148172,840,36,50000,350.329,8.18,0
47,31954,433,60,4000,46.092,13.6,0
